Feature	GO_category
GO:0000050 urea cycle	GO Biol. Process
GO:0001919 regulation of receptor recycling	GO Biol. Process
GO:0003009 skeletal muscle contraction	GO Biol. Process
GO:0003412 establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis	GO Biol. Process
GO:0005977 glycogen metabolic process	GO Biol. Process
GO:0005980 glycogen catabolic process	GO Biol. Process
GO:0006207 'de novo' pyrimidine nucleobase biosynthetic process	GO Biol. Process
GO:0006642 triglyceride mobilization	GO Biol. Process
GO:0006814 sodium ion transport	GO Biol. Process
GO:0006816 calcium ion transport	GO Biol. Process
GO:0006883 intracellular sodium ion homeostasis	GO Biol. Process
GO:0006895 Golgi to endosome transport	GO Biol. Process
GO:0006956 complement activation	GO Biol. Process
GO:0006958 complement activation, classical pathway	GO Biol. Process
GO:0007155 cell adhesion	GO Biol. Process
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	GO Biol. Process
GO:0007265 Ras protein signal transduction	GO Biol. Process
GO:0007599 hemostasis	GO Biol. Process
GO:0007596 blood coagulation	GO Biol. Process
GO:0072378 blood coagulation, fibrin clot formation	GO Biol. Process
GO:0007634 optokinetic behavior	GO Biol. Process
GO:0008045 motor neuron axon guidance	GO Biol. Process
GO:0008152 metabolic process	GO Biol. Process
GO:0008217 regulation of blood pressure	GO Biol. Process
GO:0009263 deoxyribonucleotide biosynthetic process	GO Biol. Process
GO:0009648 photoperiodism	GO Biol. Process
GO:0009411 response to UV	GO Biol. Process
GO:0009888 tissue development	GO Biol. Process
GO:0010248 establishment or maintenance of transmembrane electrochemical gradient	GO Biol. Process
GO:0015718 monocarboxylic acid transport	GO Biol. Process
GO:0030007 intracellular potassium ion homeostasis	GO Biol. Process
GO:0030155 regulation of cell adhesion	GO Biol. Process
GO:0030301 cholesterol transport	GO Biol. Process
GO:0030903 notochord development	GO Biol. Process
GO:0031290 retinal ganglion cell axon guidance	GO Biol. Process
GO:0032801 receptor catabolic process	GO Biol. Process
GO:0032922 circadian regulation of gene expression	GO Biol. Process
GO:0033353 S-adenosylmethionine cycle	GO Biol. Process
GO:0034975 protein folding in endoplasmic reticulum	GO Biol. Process
GO:0036376 sodium ion export across plasma membrane	GO Biol. Process
GO:0042026 protein refolding	GO Biol. Process
GO:0042167 heme catabolic process	GO Biol. Process
